Loading depthlist /home/mdw/src/tinyos/volcano2007/data/generated/depthlist.dat...
Depthlist opened, 9846 entries
DOWNLOAD: node 101 dltime 161.566112
DOWNLOAD: node 101 dltime 136.268443
DOWNLOAD: node 101 dltime 156.790002
DOWNLOAD: node 101 dltime 152.958702
DOWNLOAD: node 101 dltime 158.567215
DOWNLOAD: node 101 dltime 136.462041
DOWNLOAD: node 101 dltime 127.713109
DOWNLOAD: node 101 dltime 115.542881
DOWNLOAD: node 101 dltime 138.497050
DOWNLOAD: node 101 dltime 129.360491
DOWNLOAD: node 101 dltime 136.765793
DOWNLOAD: node 103 dltime 128.163462
DOWNLOAD: node 103 dltime 119.107773
DOWNLOAD: node 103 dltime 195.578988
DOWNLOAD: node 103 dltime 153.348636
DOWNLOAD: node 103 dltime 146.020428
DOWNLOAD: node 103 dltime 145.004178
DOWNLOAD: node 103 dltime 135.701131
DOWNLOAD: node 100 dltime 122.943369
DOWNLOAD: node 103 dltime 151.677960
DOWNLOAD: node 103 dltime 140.683394
DOWNLOAD: node 100 dltime 100.014801
DOWNLOAD: node 103 dltime 145.441679
DOWNLOAD: node 103 dltime 143.109284
DOWNLOAD: node 103 dltime 141.475762
DOWNLOAD: node 103 dltime 153.002868
DOWNLOAD: node 103 dltime 144.789994
DOWNLOAD: node 103 dltime 142.019999
DOWNLOAD: node 103 dltime 142.248898
DOWNLOAD: node 103 dltime 152.674111
DOWNLOAD: node 103 dltime 131.437257
DOWNLOAD: node 100 dltime 101.744791
DOWNLOAD: node 103 dltime 147.422636
DOWNLOAD: node 103 dltime 146.677194
DOWNLOAD: node 103 dltime 133.758810
DOWNLOAD: node 103 dltime 133.928900
DOWNLOAD: node 103 dltime 141.834527
DOWNLOAD: node 100 dltime 100.490287
DOWNLOAD: node 103 dltime 144.546814
DOWNLOAD: node 103 dltime 135.702160
DOWNLOAD: node 103 dltime 156.637335
DOWNLOAD: node 103 dltime 160.967750
DOWNLOAD: node 100 dltime 101.166721
DOWNLOAD: node 103 dltime 134.605411
DOWNLOAD: node 103 dltime 148.704861
DOWNLOAD: node 103 dltime 140.057743
DOWNLOAD: node 103 dltime 149.200454
DOWNLOAD: node 103 dltime 134.844353
DOWNLOAD: node 100 dltime 98.687878
DOWNLOAD: node 103 dltime 177.612781
DOWNLOAD: node 103 dltime 168.064886
DOWNLOAD: node 103 dltime 216.089214
DOWNLOAD: node 103 dltime 141.830859
DOWNLOAD: node 103 dltime 152.639270
DOWNLOAD: node 103 dltime 131.410156
DOWNLOAD: node 100 dltime 120.317185
DOWNLOAD: node 103 dltime 196.092151
DOWNLOAD: node 103 dltime 164.686757
DOWNLOAD: node 103 dltime 202.557441
DOWNLOAD: node 100 dltime 100.379067
DOWNLOAD: node 103 dltime 168.749631
DOWNLOAD: node 103 dltime 137.837794
DOWNLOAD: node 103 dltime 131.679817
DOWNLOAD: node 103 dltime 140.072222
DOWNLOAD: node 103 dltime 164.895259
DOWNLOAD: node 103 dltime 154.874103
DOWNLOAD: node 103 dltime 132.882539
DOWNLOAD: node 103 dltime 137.538073
DOWNLOAD: node 100 dltime 133.120805
DOWNLOAD: node 103 dltime 148.081960
DOWNLOAD: node 103 dltime 134.012370
DOWNLOAD: node 103 dltime 128.159196
DOWNLOAD: node 103 dltime 138.908641
DOWNLOAD: node 103 dltime 141.146147
DOWNLOAD: node 103 dltime 144.375237
DOWNLOAD: node 103 dltime 177.336189
DOWNLOAD: node 100 dltime 101.623393
DOWNLOAD: node 103 dltime 142.787103
DOWNLOAD: node 103 dltime 153.580514
DOWNLOAD: node 103 dltime 160.890972
DOWNLOAD: node 103 dltime 164.776535
DOWNLOAD: node 103 dltime 141.647260
DOWNLOAD: node 100 dltime 113.597501
DOWNLOAD: node 103 dltime 147.087527
DOWNLOAD: node 103 dltime 132.755275
DOWNLOAD: node 103 dltime 152.876425
DOWNLOAD: node 101 dltime 131.030806
DOWNLOAD: node 101 dltime 138.512413
DOWNLOAD: node 101 dltime 150.711696
DOWNLOAD: node 101 dltime 146.595711
DOWNLOAD: node 101 dltime 141.420668
DOWNLOAD: node 101 dltime 150.055115
DOWNLOAD: node 101 dltime 137.052676
DOWNLOAD: node 101 dltime 166.433295
DOWNLOAD: node 101 dltime 169.823419
DOWNLOAD: node 101 dltime 143.276175
DOWNLOAD: node 101 dltime 147.724058
DOWNLOAD: node 101 dltime 163.419990
DOWNLOAD: node 101 dltime 127.798621
DOWNLOAD: node 101 dltime 145.300160
DOWNLOAD: node 103 dltime 145.006581
DOWNLOAD: node 103 dltime 131.995415
DOWNLOAD: node 103 dltime 153.310022
DOWNLOAD: node 103 dltime 188.301434
DOWNLOAD: node 103 dltime 166.728793
DOWNLOAD: node 103 dltime 151.354279
DOWNLOAD: node 103 dltime 149.030101
DOWNLOAD: node 103 dltime 139.757243
DOWNLOAD: node 103 dltime 160.827414
DOWNLOAD: node 103 dltime 160.600349
DOWNLOAD: node 103 dltime 169.616884
DOWNLOAD: node 103 dltime 171.682307
DOWNLOAD: node 103 dltime 143.812616
DOWNLOAD: node 103 dltime 199.031124
DOWNLOAD: node 103 dltime 180.884702
DOWNLOAD: node 103 dltime 167.515700
DOWNLOAD: node 100 dltime 129.606637
DOWNLOAD: node 103 dltime 154.435959
DOWNLOAD: node 103 dltime 151.950599
DOWNLOAD: node 103 dltime 182.549268
DOWNLOAD: node 103 dltime 148.483202
DOWNLOAD: node 103 dltime 158.153804
DOWNLOAD: node 103 dltime 177.483560
DOWNLOAD: node 103 dltime 215.618298
DOWNLOAD: node 102 dltime 133.950359
DOWNLOAD: node 103 dltime 214.869165
DOWNLOAD: node 103 dltime 212.329133
DOWNLOAD: node 103 dltime 187.391161
DOWNLOAD: node 103 dltime 175.302176
DOWNLOAD: node 103 dltime 167.754289
DOWNLOAD: node 103 dltime 175.923836
DOWNLOAD: node 103 dltime 146.069794
DOWNLOAD: node 101 dltime 193.263820
DOWNLOAD: node 103 dltime 172.894031
DOWNLOAD: node 103 dltime 170.133477
DOWNLOAD: node 101 dltime 142.882092
DOWNLOAD: node 101 dltime 154.808635
DOWNLOAD: node 103 dltime 160.366072
DOWNLOAD: node 101 dltime 157.502282
DOWNLOAD: node 101 dltime 152.868903
DOWNLOAD: node 101 dltime 140.083344
DOWNLOAD: node 100 dltime 102.343887
DOWNLOAD: node 103 dltime 224.607406
DOWNLOAD: node 101 dltime 153.557857
DOWNLOAD: node 101 dltime 138.650534
DOWNLOAD: node 101 dltime 162.276927
DOWNLOAD: node 103 dltime 193.111342
DOWNLOAD: node 101 dltime 150.290293
DOWNLOAD: node 103 dltime 167.252315
DOWNLOAD: node 105 dltime 159.020823
DOWNLOAD: node 100 dltime 103.939287
DOWNLOAD: node 100 dltime 103.850142
DOWNLOAD: node 103 dltime 174.278165
DOWNLOAD: node 102 dltime 183.721736
DOWNLOAD: node 102 dltime 155.777286
DOWNLOAD: node 102 dltime 133.873971
DOWNLOAD: node 103 dltime 154.276601
DOWNLOAD: node 103 dltime 160.701474
DOWNLOAD: node 103 dltime 163.482764
DOWNLOAD: node 103 dltime 184.561834
DOWNLOAD: node 103 dltime 148.707913
DOWNLOAD: node 103 dltime 144.104857
DOWNLOAD: node 103 dltime 158.875865
DOWNLOAD: node 101 dltime 143.986455
DOWNLOAD: node 100 dltime 120.333038
DOWNLOAD: node 103 dltime 166.053143
DOWNLOAD: node 100 dltime 107.122908
DOWNLOAD: node 103 dltime 146.093595
DOWNLOAD: node 103 dltime 179.965461
DOWNLOAD: node 103 dltime 158.321082
DOWNLOAD: node 101 dltime 175.626666
DOWNLOAD: node 103 dltime 147.561070
DOWNLOAD: node 103 dltime 146.640771
DOWNLOAD: node 103 dltime 142.149367
DOWNLOAD: node 103 dltime 146.665415
DOWNLOAD: node 103 dltime 149.831330
DOWNLOAD: node 105 dltime 149.213633
DOWNLOAD: node 105 dltime 159.182049
DOWNLOAD: node 103 dltime 181.518879
DOWNLOAD: node 103 dltime 141.539258
DOWNLOAD: node 103 dltime 146.169214
DOWNLOAD: node 103 dltime 151.623146
DOWNLOAD: node 103 dltime 144.887930
DOWNLOAD: node 103 dltime 151.541348
DOWNLOAD: node 101 dltime 163.936999
DOWNLOAD: node 100 dltime 99.375541
DOWNLOAD: node 105 dltime 159.310888
DOWNLOAD: node 105 dltime 129.443572
DOWNLOAD: node 105 dltime 179.720172
DOWNLOAD: node 105 dltime 131.226283
DOWNLOAD: node 105 dltime 191.888632
DOWNLOAD: node 105 dltime 158.343251
DOWNLOAD: node 105 dltime 137.702676
DOWNLOAD: node 104 dltime 248.138901
DOWNLOAD: node 100 dltime 100.803954
DOWNLOAD: node 105 dltime 125.974579
DOWNLOAD: node 105 dltime 128.363265
DOWNLOAD: node 100 dltime 109.643737
DOWNLOAD: node 105 dltime 179.662241
DOWNLOAD: node 102 dltime 151.293485
DOWNLOAD: node 102 dltime 126.915044
DOWNLOAD: node 102 dltime 129.995989
DOWNLOAD: node 102 dltime 133.500045
DOWNLOAD: node 103 dltime 132.146421
DOWNLOAD: node 103 dltime 134.598999
DOWNLOAD: node 103 dltime 139.278777
DOWNLOAD: node 102 dltime 137.988204
