#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 50342 8584.447 7
 50344 8585.462 7
 50347 8587.380 7
 50348 8587.383 7
 50349 8588.377 7
 50350 8588.382 7
 50351 8589.337 7
 50352 8589.340 7
 50353 8590.328 7
 50355 8591.312 7
 50356 8591.315 7
 50359 8593.262 7
 50361 8594.261 7
 50364 8595.290 7
 50365 8596.208 7
 50366 8596.222 7
 50367 8597.173 7
 50368 8597.176 7
 50370 8598.152 7
 50371 8599.326 7
 50372 8599.218 7
 50373 8600.178 7
 50374 8600.178 7
 50375 8601.119 7
 50376 8601.106 7
 50377 8602.078 7
 50378 8602.094 7
 50379 8603.068 7
 50380 8603.087 7
 50381 8604.051 7
 50382 8604.066 7
 50384 8605.122 7
 50385 8606.000 7
 50387 8606.998 7
 50389 8607.994 7
 50390 8607.997 7
 50391 8609.055 7
 50392 8609.060 7
 50394 8610.044 7
 50395 8610.975 7
 50398 8611.970 7
 50399 8612.920 7
 50401 8613.959 7
 50402 8613.962 7
 50403 8614.870 7
 50405 8615.875 7
 50407 8616.912 7
 50409 8617.883 7
 50410 8617.885 7
 50411 8618.872 7
 50412 8618.874 7
 50413 8619.819 7
 50414 8619.836 7
 50419 8622.650 7
 50420 8622.829 7
 50421 8623.739 7
 50422 8623.741 7
 50427 8626.580 7
 50429 8627.627 7
 50434 8629.612 7
 50437 8631.532 7
 50439 8632.544 7
 50440 8632.544 7
 50441 8633.526 7
 50442 8633.516 7
 50443 8634.473 7
 50444 8634.476 7
 50445 8635.430 7
 50448 8636.440 7
 50449 8637.406 7
 50450 8637.409 7
 50451 8638.427 7
 50452 8638.433 7
 50453 8639.412 7
 50454 8639.414 7
 50455 8640.437 7
 50456 8640.405 7
 50457 8641.361 7
 50458 8641.364 7
 50459 8642.346 7
 50460 8642.349 7
 50461 8643.300 7
 50463 8644.290 7
 50464 8644.293 7
 50465 8645.264 7
 50466 8645.267 7
 50467 8646.246 7
 50468 8646.248 7
 50469 8647.248 7
 50470 8647.251 7
 50471 8648.183 7
 50475 8650.207 7
 50476 8650.210 7
 50477 8651.178 7
 50478 8651.181 7
 50480 8652.182 7
 50481 8653.125 7
 50482 8653.128 7
 50487 8656.065 7
 50489 8657.049 7
 50491 8658.181 7
 50496 8660.036 7
 50501 8662.965 4
 50504 8663.921 4
 50505 8664.981 4
 50506 8664.981 4
 50507 8665.893 4
 50508 8665.912 4
 50509 8666.889 4
 50511 8667.915 4
 50512 8667.920 4
 50513 8668.884 4
 50514 8668.887 4
 50519 8671.823 4
 50521 8672.795 4
 50523 8673.796 4
 50524 8673.799 4
 50529 8676.822 4
 50530 8676.825 4
 50531 8677.729 4
 50558 8690.531 12
 50562 8692.479 12
 50569 8696.390 12
 50571 8697.397 12
 50572 8697.397 12
 50575 8699.331 12
 50578 8700.290 12
 50580 8701.347 12
 50581 8702.244 12
 50582 8702.439 12
 50583 8703.225 12
 50584 8703.264 12
 50587 8705.255 12
 50588 8705.260 12
 50591 8707.199 12
 50592 8707.202 12
 50593 8708.212 12
 50594 8708.215 12
 50599 8711.092 12
 50600 8711.095 12
 50601 8712.059 12
 50611 8716.969 12
 50612 8716.972 12
 50613 8717.974 12
 50614 8717.976 12
 50617 8719.934 8
 50621 8721.909 8
 50623 8722.924 8
 50626 8723.795 8
 50628 8724.854 8
 50741 8780.530 10
 50742 8780.533 10
 50743 8781.478 10
 50744 8781.548 10
 50745 8782.444 10
 50746 8782.460 10
 50747 8783.429 10
 50748 8783.395 10
 50750 8784.423 10
 50752 8785.428 10
 50753 8786.309 10
 50755 8787.426 10
 50756 8787.493 10
 50757 8788.276 10
 50759 8789.300 10
 50760 8789.372 10
 50761 8790.327 10
 50762 8790.321 10
 50763 8791.277 10
 50764 8791.280 10
 50765 8792.237 10
 50766 8792.243 10
 50767 8793.215 10
 50768 8793.177 10
 50769 8794.407 10
 50771 8795.278 10
 50772 8795.282 10
 50773 8796.129 10
 50774 8796.108 10
 50775 8797.131 10
 50776 8797.131 10
 50777 8798.089 10
 50778 8798.044 10
 50779 8799.129 10
 50780 8799.134 10
 50781 8800.063 10
 50782 8800.055 10
 50783 8800.992 10
 50784 8800.995 10
 50785 8801.987 10
 50787 8802.964 10
 50788 8802.945 10
 50789 8803.951 10
 50790 8803.969 10
 50792 8805.011 10
 50793 8805.954 10
 50794 8805.869 10
 50795 8806.886 10
 50796 8806.889 10
 50797 8807.835 10
 50798 8807.997 10
 50799 8808.822 10
 50801 8810.762 10
 50802 8811.792 10
 50803 8812.773 10
 50804 8813.775 10
 50806 8815.718 10
 50807 8816.754 10
 50808 8817.640 10
 50809 8818.632 10
 50811 8820.580 10
 50812 8821.616 10
 50813 8821.616 10
 50814 8822.577 10
 50816 8823.550 10
 50817 8823.499 10
 50818 8824.473 10
 50825 8827.474 10
 50826 8828.421 10
 50827 8828.424 10
 50828 8829.351 10
 50829 8829.361 10
 50830 8830.451 10
 50831 8830.459 10
 50833 8831.417 10
 50835 8832.380 10
 50836 8833.297 10
 50837 8833.289 10
 50843 8836.261 10
 50844 8837.279 10
 50845 8837.253 10
 50846 8838.170 10
 50847 8838.228 10
 50848 8839.176 10
 50849 8840.143 10
 50850 8841.141 10
 50851 8842.126 10
 50852 8843.157 10
 50853 8844.092 10
 50854 8845.070 10
 50862 8852.009 10
 50863 8852.041 10
 50864 8853.022 10
 50865 8853.031 10
 50866 8854.012 10
 50867 8853.963 10
 50871 8855.929 10
 50872 8856.937 10
 50876 8858.855 10
 50878 8859.858 10
 50880 8860.797 10
 50881 8860.822 10
 50884 8862.798 10
 50886 8863.787 10
 50887 8863.861 10
 50889 8864.748 10
 50891 8865.709 10
 50892 8866.711 10
 50893 8866.650 10
 50895 8867.675 10
 50896 8868.608 10
 50897 8868.632 10
 50898 8869.679 10
 50899 8869.697 10
 50900 8870.651 10
 50901 8870.685 10
 50902 8871.558 10
 50903 8871.561 10
 50904 8872.527 10
 50908 8874.486 10
 50909 8874.473 10
 50910 8875.544 10
 50912 8876.455 10
 50913 8876.483 10
 50915 8877.440 10
 50916 8878.405 10
 50919 8879.630 10
 50920 8880.395 10
 50921 8881.432 10
 50922 8882.379 10
 50924 8884.386 10
 50925 8885.300 10
 50926 8886.333 10
 50928 8887.315 10
 50930 8888.250 10
 50932 8889.458 10
 50934 8890.225 10
 50935 8890.233 10
 50936 8891.286 10
 50937 8891.240 10
 50938 8892.194 10
 50939 8892.197 10
 50940 8893.259 10
 50941 8893.259 10
 50942 8894.175 10
 50943 8894.210 10
 50944 8895.150 10
 50945 8895.203 10
 50948 8897.149 10
 50949 8897.127 10
 50950 8898.120 10
 50952 8899.078 10
 50955 8900.614 10
 50958 8902.026 10
 50959 8902.112 10
 50960 8903.010 10
 50961 8903.013 10
 50962 8904.029 10
 50963 8904.005 10
 50964 8905.056 10
 50965 8905.096 10
 50966 8906.007 10
 50967 8906.018 10
 50968 8907.019 10
 50969 8907.019 10
 50972 8909.182 10
 50973 8909.009 10
 50974 8910.364 10
 50978 8911.932 10
 50980 8913.038 10
 50990 8917.804 10
 50991 8917.789 10
 50992 8918.836 10
 50993 8918.836 10
 51016 8930.513 3
 51017 8930.523 3
 51018 8931.438 3
 51019 8931.441 3
 51020 8932.487 3
 51021 8932.515 3
 51022 8933.403 3
 51023 8933.405 3
 51024 8934.468 3
 51025 8934.468 3
 51026 8935.403 3
 51027 8935.413 3
 51028 8936.441 3
 51030 8937.413 3
 51031 8937.336 3
