#time flow_seqno path
 #This first chunk is just observed packets, the chunk after the next commented line
 #contains just inferred packets, and then the chunk
 #after the last commented line are the scores.
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 50793 8805.954 8
 50795 8806.886 8
 50796 8806.889 8
 50797 8807.835 8
 50798 8807.997 8
 50799 8808.822 8
 50801 8810.762 8
 50802 8811.792 8
 50803 8812.773 8
 50804 8813.775 8
 50806 8815.718 8
 50807 8816.754 8
 50808 8817.640 8
 50809 8818.632 8
 50811 8820.580 8
 50813 8821.616 8
 50812 8821.616 8
 50814 8822.577 8
 50817 8823.499 8
 50816 8823.550 8
 50818 8824.473 8
 50825 8827.474 8
 50826 8828.421 8
 50827 8828.424 8
 50828 8829.351 8
 50829 8829.361 8
 50830 8830.451 8
 50831 8830.459 8
 50833 8831.417 8
 50835 8832.380 8
 50837 8833.289 8
 50836 8833.297 8
 50843 8836.261 8
 50844 8837.279 8
 50845 8837.253 8
 50846 8838.170 8
 50847 8838.228 8
 50848 8839.176 8
 50849 8840.143 8
 50850 8841.141 8
 50851 8842.126 8
 50852 8843.157 8
 50853 8844.092 8
 50854 8845.070 8
 50862 8852.009 8
 50863 8852.041 8
 50864 8853.022 8
 50865 8853.031 8
 50866 8854.012 8
 50867 8853.963 8
 50871 8855.929 8
 50872 8856.937 8
 50876 8858.855 8
 50878 8859.858 8
 50881 8860.822 8
 50880 8860.797 8
 50884 8862.798 8
 50886 8863.787 8
 50887 8863.861 8
 50889 8864.748 8
 50891 8865.709 8
 50893 8866.650 8
 50892 8866.711 8
 50895 8867.675 8
 50897 8868.632 8
 50896 8868.608 8
 50899 8869.697 8
 50898 8869.679 8
 50901 8870.685 8
 50900 8870.651 8
 50902 8871.558 8
 50903 8871.561 8
 50904 8872.527 8
 50909 8874.473 8
 50908 8874.486 8
 50910 8875.544 8
 50912 8876.455 8
 50913 8876.483 8
 50915 8877.440 8
 50916 8878.405 8
 50919 8879.630 8
 50920 8880.395 8
 50921 8881.432 8
 50922 8882.379 8
 50924 8884.386 8
 50925 8885.300 8
 50926 8886.333 8
 50928 8887.315 8
 50930 8888.250 8
 50932 8889.458 8
 50934 8890.225 8
 50935 8890.233 8
 50936 8891.286 8
 50937 8891.240 8
 50938 8892.194 8
 50939 8892.197 8
 50940 8893.259 8
 50941 8893.259 8
 50943 8894.210 8
 50942 8894.175 8
 50944 8895.150 8
 50945 8895.203 8
 50949 8897.127 8
 50948 8897.149 8
 50950 8898.120 8
 50952 8899.078 8
 50955 8900.614 8
 50959 8902.112 8
 50958 8902.026 8
 50960 8903.010 8
 50961 8903.013 8
 50963 8904.005 8
 50962 8904.029 8
 50964 8905.056 8
 50965 8905.096 8
 50966 8906.007 8
 50967 8906.018 8
 50968 8907.019 8
 50969 8907.019 8
 50973 8909.009 8
 50972 8909.182 8
 50974 8910.364 8
 50978 8911.932 8
 50980 8913.038 8
 50991 8917.789 15
 50990 8917.804 15
 50992 8918.836 15
 50993 8918.836 15
 51016 8930.513 1
 51017 8930.523 1
 51018 8931.438 1
 51019 8931.441 1
 51021 8932.515 1
 51020 8932.487 1
 51022 8933.403 1
 51023 8933.405 1
 51024 8934.468 1
 51025 8934.468 1
 51026 8935.403 1
 51027 8935.413 1
 51028 8936.441 1
 51031 8937.336 1
 51030 8937.413 1
 51032 8938.344 1
 51033 8938.344 1
 51034 8939.375 1
 51035 8939.375 7
 51036 8940.307 7
 51037 8940.307 7
 51043 8943.221 6
 51044 8944.202 1
 51045 8945.224 1
 51047 8947.126 1
 51050 8950.081 1
 51051 8951.082 1
 51052 8951.994 1
 51053 8952.889 1
 51054 8953.856 1
 51055 8954.948 1
 51056 8955.840 1
 51057 8955.939 1
 51058 8956.891 1
 51064 8959.895 13
 51067 8960.866 13
 51066 8960.830 13
 51071 8962.879 13
 51070 8962.879 13
 51077 8965.833 13
 51081 8967.736 13
 51087 8970.660 13
 51091 8972.613 13
 51090 8972.613 13
 51097 8975.577 13
 51118 8986.313 13
 51125 8989.247 13
 51131 8992.201 13
 51133 8993.193 13
 51134 8994.134 13
 51136 8995.115 13
 51137 8995.125 13
 51142 8998.100 13
 51143 8998.100 13
 51147 9000.043 13
 51146 9000.053 13
 51149 9001.044 13
 51148 9001.044 13
 51153 9002.987 13
 51152 9002.987 13
 51155 9003.958 13
 51154 9003.958 13
 51159 9005.896 13
 51161 9006.872 13
 51160 9006.882 13
 51162 9007.864 13
 51163 9007.874 13
 51164 9008.835 13
 51165 9008.835 13
 51169 9010.778 13
 51168 9010.788 13
 51189 9020.572 14
 51197 9024.508 14
 51203 9027.373 14
 51224 9042.968 14
 51228 9046.977 14
 51232 9050.802 14
 51240 9054.741 14
 51246 9057.685 14
 51254 9061.545 14
 51258 9063.502 14
 51266 9067.399 14
 51268 9068.380 14
 51272 9070.534 14
 51277 9073.322 14
 51281 9075.236 14
 51288 9078.155 14
 51287 9078.169 14
 51290 9079.136 14
