#time flow_seqno path
#This first chunk is just fully-observed routes, the chunk after the next commented line
#contains routes with inferred packets, and then the chunk
#after the last commented line are the scores (for the bottom half of the figure).
#These are grouped this way for greater ease in formatting
#the various data-groups.
58136 645.469 9
58137 645.906 9
58138 645.906 9
58140 646.656 9
58141 647.594 9
58143 648.562 9
58144 648.844 9
58145 649.562 9
58146 649.594 9
58147 650.531 9
58148 650.812 9
58149 651.500 9
58150 651.531 9
58151 652.750 9
58152 653.281 9
58153 653.469 9
58154 653.500 9
58156 655.125 9
58157 655.438 9
58158 655.438 9
58159 656.406 9
58160 656.438 9
58161 657.406 9
58162 657.406 9
58163 658.375 9
58164 658.531 9
58165 659.344 9
58167 660.312 9
58169 661.312 9
58170 661.594 9
58171 662.281 9
58172 663.281 9
58173 663.344 9
58174 663.812 9
58175 664.250 9
58176 665.062 9
58177 665.219 9
58178 665.250 9
58179 666.219 9
58180 666.219 9
58181 667.188 9
58183 668.156 9
58184 668.188 9
58186 669.688 9
58187 670.125 9
58188 670.656 9
58189 671.094 9
58190 671.125 9
58191 672.094 9
58192 672.125 9
58193 673.062 9
58194 673.344 9
58195 674.031 9
58196 674.562 9
58197 675.031 9
58198 675.125 9
58199 676.000 9
58201 676.969 9
58202 677.281 9
58203 677.969 9
58204 678.219 9
58205 678.938 9
58206 679.219 9
58207 679.906 9
58208 680.469 9
58209 680.906 9
58210 682.375 9
58211 682.375 9
58212 682.875 9
58213 683.000 9
58214 683.375 9
58215 683.844 9
58216 684.156 9
58217 684.844 9
58218 685.125 9
58220 685.938 9
58221 686.781 9
58222 687.062 9
58224 687.781 9
58225 688.750 9
58226 688.781 9
58227 689.719 9
58228 689.750 9
58229 690.688 9
58230 691.500 9
58231 691.688 9
58233 692.656 9
58234 692.688 9
58235 693.625 9
58236 693.688 9
58237 694.625 9
58238 695.594 9
58239 695.875 9
58240 696.188 9
58241 696.594 9
58242 696.875 9
58243 697.562 9
58244 698.375 9
58245 698.531 9
58247 699.500 9
58248 699.562 9
58249 700.500 9
58250 700.531 9
58251 701.469 9
58252 701.750 9
58253 702.469 9
58254 702.469 9
58255 703.438 9
58256 703.469 9
58257 704.406 9
58258 704.688 9
58259 705.406 9
58260 705.438 9
58261 706.375 9
58262 707.375 9
58264 707.406 9
58265 708.344 9
58266 708.375 9
58267 709.312 9
58268 709.625 9
58269 710.281 9
58270 710.312 9
58271 711.281 9
58272 711.281 9
58273 712.250 9
58274 712.281 9
58275 713.250 9
58276 713.531 9
58277 714.219 9
58278 714.281 9
58279 715.188 9
58280 715.469 9
58281 716.188 9
58282 716.188 9
58283 717.156 9
58285 718.125 9
58286 718.438 9
58287 719.125 9
58288 719.406 9
58289 720.094 9
58290 720.125 9
58291 721.062 9
58292 721.094 9
58293 722.062 9
58294 722.344 9
58295 723.031 9
58297 724.031 9
58300 725.031 9
58301 725.969 9
58302 726.000 9
58303 726.969 9
58304 727.938 9
58305 728.250 9
58306 728.438 9
58307 728.906 9
58308 728.969 9
58309 729.875 9
58310 730.156 9
58311 730.875 9
58312 730.906 9
58313 731.844 9
58314 731.906 9
58315 732.844 9
58316 732.875 9
58317 733.812 9
58318 734.125 9
58319 734.781 9
58320 734.812 9
58321 735.781 9
58322 735.781 9
58323 736.750 9
58324 737.031 9
58325 738.500 9
58326 738.500 9
58327 738.719 9
58328 739.469 9
58329 739.688 9
58330 739.969 9
58331 740.656 9
58332 741.219 9
58333 741.656 9
58334 741.938 9
58335 742.625 9
58337 743.594 9
58338 743.656 9
58339 744.594 9
58340 745.125 9
58341 745.562 9
58343 746.562 9
58344 746.844 9
58345 747.531 9
58346 747.562 9
58347 748.500 9
58349 749.500 9
58350 749.531 9
58351 750.469 9
58352 750.500 9
58353 751.438 9
58354 751.969 9
58355 752.438 9
58356 752.469 9
58357 753.406 9
58358 753.438 9
58359 754.375 9
58360 754.406 9
58361 755.375 9
58362 755.406 9
58363 756.344 9
58364 756.375 9
58365 757.344 9
58366 757.625 9
58367 758.312 9
58368 758.594 9
58369 759.281 9
58370 760.250 9
58371 760.281 9
58373 761.250 9
58374 761.281 9
58375 762.219 9
58376 762.250 9
58379 764.188 9
58380 764.500 9
58381 765.156 9
58382 765.188 9
58383 766.156 9
58384 766.719 9
58385 767.344 9
58387 768.094 9
58389 769.094 9
58390 769.125 9
58391 770.062 9
58392 770.094 9
58393 771.031 9
58394 771.344 9
58395 772.031 9
58396 772.062 9
58397 773.281 9
58398 773.750 9
